Id;SepalLengthCm;SepalWidthCm;PetalLengthCm;PetalWidthCm;Species
1;7;04.02;04.07;01.04;Orchid-phalaenopsis
2;06.04;04.02;04.06;01.06;Orchid-phalaenopsis
3;06.09;04.01;04.09;01.06;Orchid-phalaenopsis
4;06.06;02.04;4;01.04;Orchid-phalaenopsis
5;06.06;02.08;04.06;01.06;Orchid-phalaenopsis
6;06.07;02.08;04.06;01.04;Orchid-phalaenopsis
7;06.04;04.04;04.07;01.06;Orchid-phalaenopsis
8;04.09;02.04;04.04;1;Orchid-phalaenopsis
9;06.06;02.09;04.06;01.04;Orchid-phalaenopsis
10;06.02;02.07;04.09;01.04;Orchid-phalaenopsis
11;5;2;04.06;1;Orchid-phalaenopsis
12;06.09;3;04.02;01.06;Orchid-phalaenopsis
13;6;02.02;4;1;Orchid-phalaenopsis
14;06.01;02.09;04.07;01.04;Orchid-phalaenopsis
15;06.06;02.09;04.06;01.04;Orchid-phalaenopsis
16;06.07;04.01;04.04;01.04;Orchid-phalaenopsis
17;06.06;3;04.06;01.06;Orchid-phalaenopsis
18;06.08;02.07;04.01;1;Orchid-phalaenopsis
19;06.02;02.02;04.06;01.06;Orchid-phalaenopsis
20;06.06;02.06;04.09;01.01;Orchid-phalaenopsis
21;06.09;04.02;04.08;01.08;Orchid-phalaenopsis
22;06.01;02.08;4;01.04;Orchid-phalaenopsis
23;06.04;02.06;04.09;01.06;Orchid-phalaenopsis
24;06.01;02.08;04.07;01.02;Orchid-phalaenopsis
25;06.04;02.09;04.04;01.04;Orchid-phalaenopsis
26;06.06;3;04.04;01.04;Orchid-phalaenopsis
27;06.08;02.08;04.08;01.04;Orchid-phalaenopsis
28;06.07;3;5;01.07;Orchid-phalaenopsis
29;6;02.09;04.06;01.06;Orchid-phalaenopsis
30;06.07;02.06;04.06;1;Orchid-phalaenopsis
31;06.06;02.04;04.08;01.01;Orchid-phalaenopsis
32;06.06;02.04;04.07;1;Orchid-phalaenopsis
33;06.08;02.07;04.09;01.02;Orchid-phalaenopsis
34;6;02.07;06.01;01.06;Orchid-phalaenopsis
35;06.04;3;04.06;01.06;Orchid-phalaenopsis
36;6;04.04;04.06;01.06;Orchid-phalaenopsis
37;06.07;04.01;04.07;01.06;Orchid-phalaenopsis
38;06.04;02.04;04.04;01.04;Orchid-phalaenopsis
39;06.06;3;04.01;01.04;Orchid-phalaenopsis
40;06.06;02.06;4;01.04;Orchid-phalaenopsis
41;06.06;02.06;04.04;01.02;Orchid-phalaenopsis
42;06.01;3;04.06;01.04;Orchid-phalaenopsis
43;06.08;02.06;4;01.02;Orchid-phalaenopsis
44;5;02.04;04.04;1;Orchid-phalaenopsis
45;06.06;02.07;04.02;01.04;Orchid-phalaenopsis
46;06.07;3;04.02;01.02;Orchid-phalaenopsis
47;06.07;02.09;04.02;01.04;Orchid-phalaenopsis
48;06.02;02.09;04.04;01.04;Orchid-phalaenopsis
49;06.01;02.06;3;01.01;Orchid-phalaenopsis
50;06.07;02.08;04.01;01.04;Orchid-phalaenopsis
51;06.04;04.04;6;02.06;Orchid-cattleya
52;06.08;02.07;06.01;01.09;Orchid-cattleya
53;07.01;3;06.09;02.01;Orchid-cattleya
54;06.04;02.09;06.06;01.08;Orchid-cattleya
55;06.06;3;06.08;02.02;Orchid-cattleya
56;07.06;3;06.06;02.01;Orchid-cattleya
57;04.09;02.06;04.06;01.07;Orchid-cattleya
58;07.04;02.09;06.04;01.08;Orchid-cattleya
59;06.07;02.06;06.08;01.08;Orchid-cattleya
60;07.02;04.06;06.01;02.06;Orchid-cattleya
61;06.06;04.02;06.01;2;Orchid-cattleya
62;06.04;02.07;06.04;01.09;Orchid-cattleya
63;06.08;3;06.06;02.01;Orchid-cattleya
64;06.07;02.06;5;2;Orchid-cattleya
65;06.08;02.08;06.01;02.04;Orchid-cattleya
66;06.04;04.02;06.04;02.04;Orchid-cattleya
67;06.06;3;06.06;01.08;Orchid-cattleya
68;07.07;04.08;06.07;02.02;Orchid-cattleya
69;07.07;02.06;06.09;02.04;Orchid-cattleya
70;6;02.02;5;01.06;Orchid-cattleya
71;06.09;04.02;06.07;02.04;Orchid-cattleya
72;06.06;02.08;04.09;2;Orchid-cattleya
73;07.07;02.08;06.07;2;Orchid-cattleya
74;06.04;02.07;04.09;01.08;Orchid-cattleya
75;06.07;04.04;06.07;02.01;Orchid-cattleya
76;07.02;04.02;6;01.08;Orchid-cattleya
77;06.02;02.08;04.08;01.08;Orchid-cattleya
78;06.01;3;04.09;01.08;Orchid-cattleya
79;06.04;02.08;06.06;02.01;Orchid-cattleya
80;07.02;3;06.08;01.06;Orchid-cattleya
81;07.04;02.08;06.01;01.09;Orchid-cattleya
82;07.09;04.08;06.04;2;Orchid-cattleya
83;06.04;02.08;06.06;02.02;Orchid-cattleya
84;06.04;02.08;06.01;01.06;Orchid-cattleya
85;06.01;02.06;06.06;01.04;Orchid-cattleya
86;07.07;3;06.01;02.04;Orchid-cattleya
87;06.04;04.04;06.06;02.04;Orchid-cattleya
88;06.04;04.01;06.06;01.08;Orchid-cattleya
89;6;3;04.08;01.08;Orchid-cattleya
90;06.09;04.01;06.04;02.01;Orchid-cattleya
91;06.07;04.01;06.06;02.04;Orchid-cattleya
92;06.09;04.01;06.01;02.04;Orchid-cattleya
93;06.08;02.07;06.01;01.09;Orchid-cattleya
94;06.08;04.02;06.09;02.04;Orchid-cattleya
95;06.07;04.04;06.07;02.06;Orchid-cattleya
96;06.07;3;06.02;02.04;Orchid-cattleya
97;06.04;02.06;5;01.09;Orchid-cattleya
98;06.06;3;06.02;2;Orchid-cattleya
99;06.02;04.04;06.04;02.04;Orchid-cattleya
100;06.09;3;06.01;01.08;Orchid-cattleya
